simulacao,variavel,metodo,erro_aggregado
MAPE_200_400,ADAP,rmse,5.841660722773962
MAPE_200_400,LAIX,rmse,5.430278537975745
MAPE_200_400,MDAP,rmse,7.0622234459127675
MAPE_200_400,PD1P,rmse,7.0622234459127675
MAPE_200_400,PDFP,rmse,6.324555320336759
MAPE_300_400,ADAP,rmse,5.689903338370521
MAPE_300_400,LAIX,rmse,5.430278537975745
MAPE_300_400,MDAP,rmse,6.892024376045111
MAPE_300_400,PD1P,rmse,7.14142842854285
MAPE_300_400,PDFP,rmse,6.334429729659964
MAPE_300_500,ADAP,rmse,5.863019699779287
MAPE_300_500,LAIX,rmse,5.428822386116533
MAPE_300_500,MDAP,rmse,7.305819598101229
MAPE_300_500,PD1P,rmse,7
MAPE_300_500,PDFP,rmse,6.334429729659964
MAPE_400_400,ADAP,rmse,5.777110004145672
MAPE_400_400,LAIX,rmse,5.430278537975745
MAPE_400_400,MDAP,rmse,7.441438033068608
MAPE_400_400,PD1P,rmse,6.937218462755804
MAPE_400_400,PDFP,rmse,6.393355926272211
MAPE_50_500,ADAP,rmse,5.852349955359813
MAPE_50_500,LAIX,rmse,5.428822386116533
MAPE_50_500,MDAP,rmse,7.22841614740048
MAPE_50_500,PD1P,rmse,6.937218462755804
MAPE_50_500,PDFP,rmse,6.051859218455102
RMSE_100_100,ADAP,rmse,5.852349955359813
RMSE_100_100,LAIX,rmse,5.430278537975745
RMSE_100_100,MDAP,rmse,7.54983443527075
RMSE_100_100,PD1P,rmse,7.0622234459127675
RMSE_100_100,PDFP,rmse,5.522680508593631
RMSE_100_200,ADAP,rmse,5.7118298293979315
RMSE_100_200,LAIX,rmse,5.428822386116533
RMSE_100_200,MDAP,rmse,7.176350047203662
RMSE_100_200,PD1P,rmse,6.955213871621778
RMSE_100_200,PDFP,rmse,5.656854249492381
RMSE_50_100,ADAP,rmse,5.7118298293979315
RMSE_50_100,LAIX,rmse,5.430278537975745
RMSE_50_100,MDAP,rmse,7.416198487095663
RMSE_50_100,PD1P,rmse,6.955213871621778
RMSE_50_100,PDFP,rmse,5.623610939600996
RMSE_50_500,ADAP,rmse,5.7118298293979315
RMSE_50_500,LAIX,rmse,5.428822386116533
RMSE_50_500,MDAP,rmse,7.280109889280518
RMSE_50_500,PD1P,rmse,6.955213871621778
RMSE_50_500,PDFP,rmse,5.522680508593631
