@RUN,EXCODE,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,GL%MS,GL%MM,CHTAS,CHTAM,R8APS,R8APM,EDAPS,EDAPM,region,idRun,score,simulacao
1,EMEP1403BN,1,1,BN,45,35,53,42,62,56,87,72,70,1605,90,2313,38,1090,0.1818,0.15,4.64,5.49,123,3202,50,-99,0.01,4.18,0.564,0.5,77.41,70.4,2,-99,3,-99,0,-99,3.58,-99,74,1409,3,-99,14.33,-99,2.8,-99,1.22,-99,96,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
2,EMEP1403BN,2,1,BN,47,42,55,48,65,62,89,82,76,1997,100,2923,44,1258,0.1725,0.17,4.64,5.52,139,3204,60,-99,0.01,6.26,0.551,0.62,76.73,72.7,3,-99,4,-99,0,-99,3.66,-99,78,1349,3,-99,14.24,-99,2.92,-99,1.19,-99,98,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
3,EMEP1403BN,3,1,BN,49,49,57,55,66,68,87,90,82,2803,110,3069,54,1501,0.1523,0.19,4.64,4.52,152,4319,70,-99,0.01,6.34,0.536,0.65,73.86,74.4,3,-99,4,-99,1,-99,3.78,-99,91,1224,4,-99,14.42,-99,2.83,-99,1.18,-99,96,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
4,EMEP1403BN,4,1,BN,49,50,57,54,65,64,86,82,67,4004,92,3178,46,1062,0.1447,0.23,4.64,5.31,136,5302,70,-99,0.01,4.92,0.492,-99,72.72,78.2,3,-99,4,-99,1,-99,3.89,-99,88,2161,3,-99,14.51,-99,2.72,-99,1.21,-99,95,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
5,EMEP1403BN,5,1,BN,44,51,52,54,61,68,82,90,72,3993,92,5140,41,1964,0.1749,0.19,4.64,4.96,123,5002,50,-99,0.01,5.67,0.581,-99,77.51,77.6,3,-99,3,-99,0,-99,3.6,-99,65,2306,3,-99,14.53,-99,3.1,-99,1.25,-99,91,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
6,EMEP1403BN,6,1,BN,46,55,53,67,62,74,83,91,70,4340,95,5358,48,3157,0.1453,0.19,4.64,4.95,135,4261,70,-99,0.01,5,0.516,-99,73.86,74.9,3,-99,4,-99,1,-99,3.78,-99,83,1849,3,-99,14.56,-99,2.8,-99,1.26,-99,92,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
7,EMEP1403BN,8,1,BN,43,41,51,51,60,57,86,84,112,2630,143,-99,54,1215,0.2061,0.21,4.64,4.94,182,3092,70,-99,0.02,6.14,0.615,-99,78.41,72.3,4,-99,5,-99,0,-99,3.57,-99,95,2069,4,-99,14.27,-99,2.7,-99,1.31,-99,95,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
8,EMEP1403BN,9,1,BN,46,47,54,56,64,65,89,86,103,2080,137,3807,58,1151,0.1789,0.17,4.64,4.63,187,3027,80,-99,0.02,4.59,0.552,0.69,75.08,71.8,4,-99,5,-99,1,-99,3.64,-99,105,2002,4,-99,14,-99,2.82,-99,1.14,-99,98,-99,4,-99,-99,iteration_231052.088,94.2044927288138,RMSE_50_100
1,EMEP1403BN,1,1,BN,45,35,53,42,63,56,87,72,69,1605,92,2313,41,1090,0.1689,0.15,4.64,5.49,125,3202,60,-99,0.01,4.18,0.551,0.5,75.18,70.4,2,-99,3,-99,0,-99,3.58,-99,74,1409,3,-99,14.33,-99,2.8,-99,1.22,-99,96,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
2,EMEP1403BN,2,1,BN,47,42,55,48,66,62,88,82,73,1997,97,2923,46,1258,0.1576,0.17,4.64,5.52,136,3204,60,-99,0.01,6.26,0.534,0.62,74.48,72.7,3,-99,4,-99,1,-99,3.65,-99,78,1349,3,-99,14.24,-99,2.93,-99,1.19,-99,97,-99,4,-99,-99,iteration_231052.542,86.2791063308843,RMSE_50_500
